track_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
"Saturday Night, Sunday Morning",Thelma Houston,spotify:track:1fa5UPTTzONFPYONW7rIwH,0.751,0.828,10,-6.886,1,0.0447,0.0933,0.00156,0.0741,0.861,110.493,audio_features,1fa5UPTTzONFPYONW7rIwH,https://api.spotify.com/v1/tracks/1fa5UPTTzONFPYONW7rIwH,https://api.spotify.com/v1/audio-analysis/1fa5UPTTzONFPYONW7rIwH,235067,4
Universal Soldier,Buffy Sainte-Marie,spotify:track:35oPNtWETGELk0CguDIfKr,0.518,0.283,8,-13.715,1,0.0391,0.721,0.0,0.126,0.735,97.651,audio_features,35oPNtWETGELk0CguDIfKr,https://api.spotify.com/v1/tracks/35oPNtWETGELk0CguDIfKr,https://api.spotify.com/v1/audio-analysis/35oPNtWETGELk0CguDIfKr,139800,4
Neutron Dance,The Pointer Sisters,spotify:track:4w6vel1iC1DIuNvDF1yKQ3,0.691,0.872,9,-7.137,1,0.0442,0.0355,7.35e-06,0.221,0.925,104.858,audio_features,4w6vel1iC1DIuNvDF1yKQ3,https://api.spotify.com/v1/tracks/4w6vel1iC1DIuNvDF1yKQ3,https://api.spotify.com/v1/audio-analysis/4w6vel1iC1DIuNvDF1yKQ3,252133,4
Hold Me Closer,The Equals,spotify:track:3BdYyZsYNSQn2M6cM6J9Qu,0.638,0.679,11,-8.094,1,0.0282,0.00159,0.0,0.14,0.918,126.122,audio_features,3BdYyZsYNSQn2M6cM6J9Qu,https://api.spotify.com/v1/tracks/3BdYyZsYNSQn2M6cM6J9Qu,https://api.spotify.com/v1/audio-analysis/3BdYyZsYNSQn2M6cM6J9Qu,152427,4
Valley Of The Kings,Allez Allez,spotify:track:0ng5aeVsEgKemMDNUocOBP,0.589,0.51,6,-10.384,0,0.038,0.392,0.0,0.209,0.617,131.223,audio_features,0ng5aeVsEgKemMDNUocOBP,https://api.spotify.com/v1/tracks/0ng5aeVsEgKemMDNUocOBP,https://api.spotify.com/v1/audio-analysis/0ng5aeVsEgKemMDNUocOBP,338000,4
Lovefool - Radio Edit,The Cardigans,spotify:track:6vvYOBxKmCvUSEQgxdZiAq,0.648,0.688,9,-4.671,1,0.0282,0.0251,3.08e-06,0.149,0.937,111.854,audio_features,6vvYOBxKmCvUSEQgxdZiAq,https://api.spotify.com/v1/tracks/6vvYOBxKmCvUSEQgxdZiAq,https://api.spotify.com/v1/audio-analysis/6vvYOBxKmCvUSEQgxdZiAq,198240,4
Sweet As Radio,Spliff,spotify:track:6TIgeONJwpMuLiy1yXoOhz,0.586,0.717,7,-10.816,1,0.0576,0.0119,5.87e-05,0.444,0.555,121.993,audio_features,6TIgeONJwpMuLiy1yXoOhz,https://api.spotify.com/v1/tracks/6TIgeONJwpMuLiy1yXoOhz,https://api.spotify.com/v1/audio-analysis/6TIgeONJwpMuLiy1yXoOhz,237027,4
Long Time,Sergent Garcia,spotify:track:2cSmLjwIQR7zS7K2Mhh6K3,0.686,0.854,9,-3.007,0,0.109,0.378,0.0,0.173,0.828,152.209,audio_features,2cSmLjwIQR7zS7K2Mhh6K3,https://api.spotify.com/v1/tracks/2cSmLjwIQR7zS7K2Mhh6K3,https://api.spotify.com/v1/audio-analysis/2cSmLjwIQR7zS7K2Mhh6K3,242013,4
Back Of My Hand,Jags,spotify:track:0WghYc6JU0HbCvsgGlyqId,0.49,0.83,4,-9.283,1,0.0512,0.0922,0.0,0.0719,0.966,162.105,audio_features,0WghYc6JU0HbCvsgGlyqId,https://api.spotify.com/v1/tracks/0WghYc6JU0HbCvsgGlyqId,https://api.spotify.com/v1/audio-analysis/0WghYc6JU0HbCvsgGlyqId,195133,4
Ai No Corrida,Chaz Jankel,spotify:track:0gIuEh4Hc11YGPDOuUaWLT,0.721,0.938,4,-5.873,0,0.085,0.00404,0.528,0.204,0.541,122.85,audio_features,0gIuEh4Hc11YGPDOuUaWLT,https://api.spotify.com/v1/tracks/0gIuEh4Hc11YGPDOuUaWLT,https://api.spotify.com/v1/audio-analysis/0gIuEh4Hc11YGPDOuUaWLT,514707,4
The Runner,The Three Degrees,spotify:track:1SjVF6AcCFamuErMWI7GQz,0.76,0.663,4,-12.965,0,0.0338,0.00482,0.151,0.0691,0.895,132.876,audio_features,1SjVF6AcCFamuErMWI7GQz,https://api.spotify.com/v1/tracks/1SjVF6AcCFamuErMWI7GQz,https://api.spotify.com/v1/audio-analysis/1SjVF6AcCFamuErMWI7GQz,262040,4
My Favourite Game,The Cardigans,spotify:track:4LpOPF5RXZhS1GLzclhyaT,0.594,0.766,5,-7.598,0,0.0327,0.000156,0.00345,0.086,0.453,143.482,audio_features,4LpOPF5RXZhS1GLzclhyaT,https://api.spotify.com/v1/tracks/4LpOPF5RXZhS1GLzclhyaT,https://api.spotify.com/v1/audio-analysis/4LpOPF5RXZhS1GLzclhyaT,220413,4
Givin' Up Givin' In,The Three Degrees,spotify:track:69F4BXLcsrlHg2s2mViAfG,0.611,0.794,0,-9.689,0,0.0325,0.0634,0.00425,0.506,0.783,131.825,audio_features,69F4BXLcsrlHg2s2mViAfG,https://api.spotify.com/v1/tracks/69F4BXLcsrlHg2s2mViAfG,https://api.spotify.com/v1/audio-analysis/69F4BXLcsrlHg2s2mViAfG,234800,4
